python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-py 1.10.0-1
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-4
python-pycparser 2.20-3
python-pygments 2.10.0-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyrsistent 0.18.0-1
python-pyserial 3.5-2
python-pytables 3.6.1-7
python-pytest 6.2.4-1
python-pytz 2021.1-1
python-pyzmq 22.2.1-1
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-rsa 4.7.2-1
python-scikit-learn 0.24.2-2
python-scipy 1.7.1-1
python-send2trash 1.8.0-1
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-smmap 1:4.0.0-1
python-systemd 234-8
python-tempora 4.1.1-1
python-terminado 0.11.1-1
python-testpath 0.4.4-3
python-threadpoolctl 2.2.0-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-tornado 6.1.0-3
python-traitlets 5.0.5-1
python-typing_extensions 3.10.0.0-1
python-uritemplate 3.0.1-3
python-urllib3 1.26.6-1
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-werkzeug 2.0.1-1
python-yaml 5.4.1.1-2
python-zc.lockfile 2.0-5
python-zipp 3.5.0-1
python2 2.7.18-3
python2-pyxdg 0.27-1
qhull 2020.2-4
qt5-base 5.15.2+kde+r215-2
rav1e 0.4.1-1
rc-local 4-1
re2 1:20210801-1
readline 8.1.001-1
reflector 2021.7.8-1
rest 0.8.1-3
run-parts 5.3-1
sdl2 2.0.16-2
sed 4.8-1
serf 1.3.9-5
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
snappy 1.1.9-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.36.0-1
srt 1.4.3-1
st 0.8.4-2
startup-notification 0.12-7
subversion 1.14.1-3
sudo 1.9.7.p2-1
svt-av1 0.8.7-1
sysfsutils 2.1.1-1
systemd 249.3-1
systemd-libs 249.3-1
systemd-sysvcompat 249.3-1
tar 1.34-1
tbb 2020.3-1
tcl 8.6.11-1
tdb 1.4.5-1
texinfo 6.8-2
tigervnc 1.11.0-6
tint2 17.0.1-1
